名前,個人URL,ORCID,所属、役職,所属、役職URL,住所,アクセス方法,研究キーワード
"エスティリ メーディ (ESTILI, Mehdi) ",https://samurai.nims.go.jp//profiles/estili_mehdi,https://orcid.org/0000-0003-1465-8148,"機能性材料研究拠点,光機能分野,セラミックスプロセッシンググループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc20,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"荏原 充宏 (EBARA, Mitsuhiro) ",https://samurai.nims.go.jp//profiles/ebara_mitsuhiro,https://orcid.org/0000-0002-7906-0350,"機能性材料研究拠点,ポリマー・バイオ分野,スマートポリマーグループ,グループリーダー,国際ナノアーキテクトニクス研究拠点(MANA),MANA准主任研究者,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpa00,https://samurai.nims.go.jp//profiles?unit=rpa70,https://samurai.nims.go.jp//profiles?employee_position=G2050,https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?employee_position=G5840","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"スマートポリマー,生体材料,医療デバイス,ナノファイバー"
"海老名 保男 (EBINA, Yasuo) ",https://samurai.nims.go.jp//profiles/ebina_yasuo,https://orcid.org/0000-0003-3471-9825,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,ソフト化学グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2e0,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ナノシート,層状物質,単層剥離"
"江村 聡 (EMURA, Satoshi) ",https://samurai.nims.go.jp//profiles/emura_satoshi,https://orcid.org/0000-0001-5789-6408,"構造材料研究拠点,設計・創造分野,振動制御材料グループ,主幹研究員,統合型材料開発・情報基盤部門,SIP-MIラボ,耐熱合金ＭＩチーム,主幹研究員,統合型材料開発・情報基盤部門,マテリアルズインテグレーションコンソーシアム,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta20,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj200,https://samurai.nims.go.jp//profiles?unit=kj290,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kja00,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,構造材料　チタン合金　金属組織　機械的性質　偏析　加工熱処理　快削鋼
"エル サフティ シェリフ (EL-SAFTY, Sherif) ",https://samurai.nims.go.jp//profiles/sherif_elsafty,https://orcid.org/0000-0001-5992-9744,"機能性材料研究拠点,独立研究者,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?employee_position=G5880","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"Metal oxide nanostructures, Sensor, Photo-voltaic, Nanocatalysts, Photo-strips"
"エルアミル アアハメド モハメド エルサイド アハメド (ELAMIR, Ahmed Mohamed Elsayed Ahmed) ",https://samurai.nims.go.jp//profiles/elamir_ahmed,https://orcid.org/0000-0003-2006-5840,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,メソスケール物質化学グループ,外来研究者,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2f0,https://samurai.nims.go.jp//profiles?employee_position=P8700","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"エルマライ ガネサン (ELUMALAI, Ganesan) ",https://samurai.nims.go.jp//profiles/elumalai_ganesan,https://orcid.org/0000-0002-5459-8226,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,ソフト化学グループ,NIMSポスドク研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2e0,https://samurai.nims.go.jp//profiles?employee_position=P7600","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"大井 暁彦 (OHI, Akihiko) ",https://samurai.nims.go.jp//profiles/ohi_akihiko,https://orcid.org/0000-0003-4638-0099,"技術開発・共用部門,ナノテクノロジー融合ステーション,ナノファブリケーショングループ,主任エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh370,https://samurai.nims.go.jp//profiles?unit=kh371,https://samurai.nims.go.jp//profiles?employee_position=G5650","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"大井 修一 (OOI, Shuuichi) ",https://samurai.nims.go.jp//profiles/ooi_shuuichi,https://orcid.org/0000-0003-2129-0310,"国際ナノアーキテクトニクス研究拠点(MANA),ナノシステム分野,量子物質特性グループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp300,https://samurai.nims.go.jp//profiles?unit=mp3k0,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,応用物性・結晶工学
"大垣 武 (OGAKI, Takeshi) ",https://samurai.nims.go.jp//profiles/ogaki_takeshi,https://orcid.org/0000-0001-7187-4096,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"半導体,結晶成長,界面"
"大木 忍 (OHKI, Shinobu) ",https://samurai.nims.go.jp//profiles/ohki_shinobu,https://orcid.org/0000-0002-7357-3833,"技術開発・共用部門,NMRステーション,主幹エンジニア,技術開発・共用部門,微細構造解析プラットフォーム,主幹エンジニア,技術開発・共用部門,低温応用ステーション,主幹エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh390,https://samurai.nims.go.jp//profiles?employee_position=G5350,https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh220,https://samurai.nims.go.jp//profiles?employee_position=G5350,https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh3a0,https://samurai.nims.go.jp//profiles?employee_position=G5350","305-0003 茨城県つくば市桜3-13 ",https://www.nims.go.jp/nims/office/tsukuba_sakura.html,
"大久保 勇男 (OHKUBO, Isao) ",https://samurai.nims.go.jp//profiles/ohkubo_isao,https://orcid.org/0000-0002-4187-0112,"国際ナノアーキテクトニクス研究拠点(MANA),ナノマテリアル分野,熱エネルギー変換材料グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp200,https://samurai.nims.go.jp//profiles?unit=mp2d0,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"大久保 忠勝 (OHKUBO, Tadakatsu) ",https://samurai.nims.go.jp//profiles/ohkubo_tadakatsu,https://orcid.org/0000-0003-3548-1951,"磁性・スピントロニクス材料研究拠点,副拠点長,磁性・スピントロニクス材料研究拠点,磁性材料解析グループ,グループリーダー,磁性・スピントロニクス材料研究拠点,元素戦略磁性材料研究拠点,材料創製グループ,主席研究員,統合型材料開発・情報基盤部門,SIP-MIラボ,耐熱合金ＭＩチーム,主席研究員,","https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?employee_position=G0200,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs240,https://samurai.nims.go.jp//profiles?employee_position=G2050,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs300,https://samurai.nims.go.jp//profiles?unit=rs330,https://samurai.nims.go.jp//profiles?employee_position=G4900,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj200,https://samurai.nims.go.jp//profiles?unit=kj290,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"ナノ組織解析,TEM,アトムプローブ"
"大熊 学 (OKUMA, Gaku) ",https://samurai.nims.go.jp//profiles/okuma_gaku,https://orcid.org/0000-0002-2997-9166,"構造材料研究拠点,接合・造型分野,セラミックス基複合材料グループ,研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtb00,https://samurai.nims.go.jp//profiles?unit=rtb80,https://samurai.nims.go.jp//profiles?employee_position=G5800","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"セラミックス,焼結/微構造制御,高温変形・破壊,X線CT"
"大里 啓孝 (OOSATO, Hirotaka) ",https://samurai.nims.go.jp//profiles/oosato_hirotaka,https://orcid.org/0000-0002-8495-3428,"技術開発・共用部門,微細加工プラットフォーム,","https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh230","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"大澤 健男 (OHSAWA, Takeo) ",https://samurai.nims.go.jp//profiles/ohsawa_takeo,https://orcid.org/0000-0001-7528-8940,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,酸化物，薄膜，表面，界面
"大澤 嘉昭 (OHSAWA, Yoshiaki) ",https://samurai.nims.go.jp//profiles/ohsawa_yoshiaki,https://orcid.org/0000-0001-9097-0710,"構造材料研究拠点,設計・創造分野,振動制御材料グループ,NIMSエンジニア職,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta20,https://samurai.nims.go.jp//profiles?employee_position=P7670","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,鋳造凝固プロセス，　凝固組織制御，　環境技術・環境材料
"大島 祐一 (OSHIMA, Yuichi) ",https://samurai.nims.go.jp//profiles/oshima_yuichi,https://orcid.org/0000-0001-8293-4891,"機能性材料研究拠点,光機能分野,光学単結晶グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc10,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,
"太田 鳴海 (OHTA, Narumi) ",https://samurai.nims.go.jp//profiles/ohta_narumi,https://orcid.org/0000-0002-6353-4806,"エネルギー・環境材料研究拠点,全固体電池グループ,主幹研究員,エネルギー・環境材料研究拠点,先進蓄電池研究開発拠点,全固体チーム,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq390,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq600,https://samurai.nims.go.jp//profiles?unit=rq640,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"全固体型リチウム二次電池,高容量負極"
"大竹 晃浩 (OHTAKE, Akihiro) ",https://samurai.nims.go.jp//profiles/ohtake_akihiro,https://orcid.org/0000-0002-3519-4613,"機能性材料研究拠点,光機能分野,エピタキシャルナノ構造グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc50,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ナノ材料・ナノバイオサイエンス 薄膜・表面界面物性"
"大谷 茂樹 (OTANI, Shigeki) ",https://samurai.nims.go.jp//profiles/otani_shigeki,https://orcid.org/0000-0002-0700-7366,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ZrB2,単結晶,基板"
"大塚 秀幸 (OHTSUKA, Hideyuki) ",https://samurai.nims.go.jp//profiles/ohtsuka_hideyuki,https://orcid.org/0000-0001-6565-0328,"エネルギー・環境材料研究拠点,液体水素材料研究センター,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq500,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"組織配向,結晶方位配向,磁気エネルギー"
"大出 真知子 (ODE, Machiko) ",https://samurai.nims.go.jp//profiles/ode_machiko,https://orcid.org/0000-0002-9500-5466,"構造材料研究拠点,設計・創造分野,計算構造材料グループ,主任研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta80,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"計算機シミュレーション,フェーズフィールド法,ミクロ組織"
"大西 桂子 (ONISHI, Keiko) ",https://samurai.nims.go.jp//profiles/onishi_keiko,https://orcid.org/0000-0003-3979-8905,"先端材料解析研究拠点,原子構造物性分野,表界面物理計測グループ,主任研究員,技術開発・共用部門,微細構造解析プラットフォーム,主任研究員,","https://samurai.nims.go.jp//profiles?unit=kf000,https://samurai.nims.go.jp//profiles?unit=kf300,https://samurai.nims.go.jp//profiles?unit=kf330,https://samurai.nims.go.jp//profiles?employee_position=G5500,https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh220,https://samurai.nims.go.jp//profiles?employee_position=G5500","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"ナノ材料 薄膜・表面界面物性"
"大西 剛 (OHNISHI, Tsuyoshi) ",https://samurai.nims.go.jp//profiles/ohnishi_tsuyoshi,https://orcid.org/0000-0002-2333-7752,"エネルギー・環境材料研究拠点,全固体電池グループ,グループリーダー,エネルギー・環境材料研究拠点,先進蓄電池研究開発拠点,全固体チーム,チームリーダー,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq390,https://samurai.nims.go.jp//profiles?employee_position=G2050,https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq600,https://samurai.nims.go.jp//profiles?unit=rq640,https://samurai.nims.go.jp//profiles?employee_position=G1900","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,無機材料・物性
"大沼 郁雄 (OHNUMA, Ikuo) ",https://samurai.nims.go.jp//profiles/ohnuma_ikuo,https://orcid.org/0000-0003-4874-4941,"構造材料研究拠点,上席研究員,磁性・スピントロニクス材料研究拠点,元素戦略磁性材料研究拠点,電子論グループ,主席研究員,構造材料研究拠点,設計・創造分野,計算構造材料グループ,主席研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?employee_position=G4450,https://samurai.nims.go.jp//profiles?unit=rs000,https://samurai.nims.go.jp//profiles?unit=rs300,https://samurai.nims.go.jp//profiles?unit=rs320,https://samurai.nims.go.jp//profiles?employee_position=G4900,https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta80,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"大野 隆央 (OHNO, Takahisa) ",https://samurai.nims.go.jp//profiles/ohno_takahisa,https://orcid.org/0000-0001-8559-4220,"国際ナノアーキテクトニクス研究拠点(MANA),ナノセオリー分野,量子物性シミュレーショングループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp600,https://samurai.nims.go.jp//profiles?unit=mp620,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ナノ構造,機能探索,第一原理解析"
"大橋 直樹 (OHASHI, Naoki) ",https://samurai.nims.go.jp//profiles/ohashi_naoki,https://orcid.org/0000-0002-4011-0031,"機能性材料研究拠点,拠点長,機能性材料研究拠点,電気・電子機能分野,分野長,機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,グループリーダー,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?employee_position=G0150,https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?employee_position=G0360,https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G2050","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"Defects, Interface, Polarity, and Charge Compensation"
"大村 孝仁 (OHMURA, Takahito) ",https://samurai.nims.go.jp//profiles/ohmura_takahito,https://orcid.org/0000-0001-7528-566X,"構造材料研究拠点,副拠点長,構造材料研究拠点,解析・評価分野,高強度材料グループ,グループリーダー,技術開発・共用部門,電子顕微鏡解析ステーション,組織解析グループ,主席研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?employee_position=G0200,https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtc00,https://samurai.nims.go.jp//profiles?unit=rtc50,https://samurai.nims.go.jp//profiles?employee_position=G2050,https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh3c0,https://samurai.nims.go.jp//profiles?unit=kh3c1,https://samurai.nims.go.jp//profiles?employee_position=G4900","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,強度物性，格子欠陥，転位，ナノインデンテーション，構造材料
"大吉 啓司 (OYOSHI, Keiji) ",https://samurai.nims.go.jp//profiles/oyoshi_keiji,https://orcid.org/0000-0002-0922-935X,"エネルギー・環境材料研究拠点,液体水素材料研究センター,水素材料制御グループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rq000,https://samurai.nims.go.jp//profiles?unit=rq500,https://samurai.nims.go.jp//profiles?unit=rq530,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0003 茨城県つくば市桜3-13 ",https://www.nims.go.jp/nims/office/tsukuba_sakura.html,"イオンビーム,表面改質,ガラス,セラミックス,半導体"
"岡 博之 (OKA, Hiroyuki) ",https://samurai.nims.go.jp//profiles/oka_hiroyuki,https://orcid.org/0000-0002-1768-2429,"統合型材料開発・情報基盤部門,材料データプラットフォームセンター,材料データベースグループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj500,https://samurai.nims.go.jp//profiles?unit=kj590,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"有機ラジカル,有機磁性体,超臨界水,再生医療,データ自動抽出"
"岡田 勝行 (OKADA, Katsuyuki) ",https://samurai.nims.go.jp//profiles/okada_katsuyuki,https://orcid.org/0000-0002-4230-6230,"機能性材料研究拠点,電気・電子機能分野,電子セラミックスグループ,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpb00,https://samurai.nims.go.jp//profiles?unit=rpb10,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"ナノクリスタルダイヤモンド,低圧誘導結合プラズマ,ＣＶＤ"
"岡田 秀彦 (OKADA, Hidehiko) ",https://samurai.nims.go.jp//profiles/okada_hidehiko,https://orcid.org/0000-0002-4601-901X,"機能性材料研究拠点,光機能分野,微粒子工学グループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc70,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0003 茨城県つくば市桜3-13 ",https://www.nims.go.jp/nims/office/tsukuba_sakura.html,
"岡本 章玄 (OKAMOTO, Akihiro) ",https://samurai.nims.go.jp//profiles/okamoto_akihiro,https://orcid.org/0000-0002-8102-4316,"国際ナノアーキテクトニクス研究拠点(MANA),ナノシステム分野,電気化学ナノバイオテクノロジーグループ,グループリーダー,","https://samurai.nims.go.jp//profiles?unit=mp000,https://samurai.nims.go.jp//profiles?unit=mp300,https://samurai.nims.go.jp//profiles?unit=mp3l0,https://samurai.nims.go.jp//profiles?employee_position=G2050","305-0044 茨城県つくば市並木1-1 ",https://www.nims.go.jp/nims/office/tsukuba_namiki.html,"電気細菌,電気化学,微生物燃料電池,微生物鉄腐食,外膜シトクロム酵素"
"緒形 俊夫 (OGATA, Toshio) ",https://samurai.nims.go.jp//profiles/ogata_toshio,https://orcid.org/0000-0001-7335-3155,"構造材料研究拠点,解析・評価分野,材料強度基準グループ,NIMS特別研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtc00,https://samurai.nims.go.jp//profiles?unit=rtc30,https://samurai.nims.go.jp//profiles?employee_position=P7400","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,"金属物性 構造・機能材料 極低温 高圧水素環境 材料特性評価 試験法 国際標準化"
"小川 由希子 (OGAWA, Yukiko) ",https://samurai.nims.go.jp//profiles/ogawa_yukiko,https://orcid.org/0000-0002-7830-1597,"構造材料研究拠点,設計・創造分野,軽金属材料創製グループ,研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta60,https://samurai.nims.go.jp//profiles?employee_position=G5800","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"荻原 俊弥 (OGIWARA, Toshiya) ",https://samurai.nims.go.jp//profiles/ogiwara_toshiya,https://orcid.org/0000-0002-7376-6571,"技術開発・共用部門,材料分析ステーション,表面・微小領域分析グループ,主幹エンジニア,技術開発・共用部門,材料分析ステーション,主幹エンジニア,","https://samurai.nims.go.jp//profiles?unit=kh300,https://samurai.nims.go.jp//profiles?unit=kh330,https://samurai.nims.go.jp//profiles?unit=kh331,https://samurai.nims.go.jp//profiles?employee_position=G5350,https://samurai.nims.go.jp//profiles?unit=kh000,https://samurai.nims.go.jp//profiles?unit=kh330,https://samurai.nims.go.jp//profiles?employee_position=G5350","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"奥山 秀男 (OKUYAMA, Hideo) ",https://samurai.nims.go.jp//profiles/okuyama_hideo,https://orcid.org/0000-0003-1740-504X,"機能性材料研究拠点,光機能分野,セラミックスプロセッシンググループ,研究業務員,","https://samurai.nims.go.jp//profiles?unit=rp000,https://samurai.nims.go.jp//profiles?unit=rpc00,https://samurai.nims.go.jp//profiles?unit=rpc20,https://samurai.nims.go.jp//profiles?employee_position=P7800","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"小熊 博幸 (OGUMA, Hiroyuki) ",https://samurai.nims.go.jp//profiles/oguma_hiroyuki,https://orcid.org/0000-0003-1104-7317,"構造材料研究拠点,接合・造型分野,高分子系ハイブリッド複合材料グループ,主幹研究員,統合型材料開発・情報基盤部門,SIP-MIラボ,ＣＦＲＰ-ＭＩチーム,主幹研究員,統合型材料開発・情報基盤部門,マテリアルズインテグレーションコンソーシアム,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rtb00,https://samurai.nims.go.jp//profiles?unit=rtb40,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj200,https://samurai.nims.go.jp//profiles?unit=kj2a0,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kja00,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,
"長田 俊郎 (OSADA, Toshio) ",https://samurai.nims.go.jp//profiles/osada_toshio,https://orcid.org/0000-0003-1539-9264,"構造材料研究拠点,設計・創造分野,超耐熱材料グループ,主幹研究員,統合型材料開発・情報基盤部門,SIP-MIラボ,耐熱合金ＭＩチーム,チームリーダー,統合型材料開発・情報基盤部門,マテリアルズインテグレーションコンソーシアム,主幹研究員,","https://samurai.nims.go.jp//profiles?unit=rt000,https://samurai.nims.go.jp//profiles?unit=rta00,https://samurai.nims.go.jp//profiles?unit=rta40,https://samurai.nims.go.jp//profiles?employee_position=G5200,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kj200,https://samurai.nims.go.jp//profiles?unit=kj290,https://samurai.nims.go.jp//profiles?employee_position=G1900,https://samurai.nims.go.jp//profiles?unit=kj000,https://samurai.nims.go.jp//profiles?unit=kja00,https://samurai.nims.go.jp//profiles?employee_position=G5200","305-0047 茨城県つくば市千現1-2-1 ",https://www.nims.go.jp/nims/office/tsukuba_sengen.html,転位論，材料組織学，材料強度学，破壊力学，自己治癒材料，Ni基超合金
